=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  S32615S Nondisplaced avulsion fracture of left ischium, sequela
  S32616A Nondisplaced avulsion fracture of unspecified ischium, initial encounter for closed fracture
  S32616B Nondisplaced avulsion fracture of unspecified ischium, initial encounter for open fracture
  S32616D Nondisplaced avulsion fracture of unspecified ischium, subsequent encounter for fracture with routine healing
  S32616G Nondisplaced avulsion fracture of unspecified ischium, subsequent encounter for fracture with delayed healing
  S32616K Nondisplaced avulsion fracture of unspecified ischium, subsequent encounter for fracture with nonunion
  S32616S Nondisplaced avulsion fracture of unspecified ischium, sequela
  S32691A Other specified fracture of right ischium, initial encounter for closed fracture
  S32691B Other specified fracture of right ischium, initial encounter for open fracture
  S32691D Other specified fracture of right ischium, subsequent encounter for fracture with routine healing
  S32691G Other specified fracture of right ischium, subsequent encounter for fracture with delayed healing
  S32691K Other specified fracture of right ischium, subsequent encounter for fracture with nonunion
  S32691S Other specified fracture of right ischium, sequela
  S32692A Other specified fracture of left ischium, initial encounter for closed fracture
  S32692B Other specified fracture of left ischium, initial encounter for open fracture
  S32692D Other specified fracture of left ischium, subsequent encounter for fracture with routine healing
  S32692G Other specified fracture of left ischium, subsequent encounter for fracture with delayed healing
  S32692K Other specified fracture of left ischium, subsequent encounter for fracture with nonunion
  S32692S Other specified fracture of left ischium, sequela
  S32699A Other specified fracture of unspecified ischium, initial encounter for closed fracture
  S32699B Other specified fracture of unspecified ischium, initial encounter for open fracture
  S32699D Other specified fracture of unspecified ischium, subsequent encounter for fracture with routine healing
  S32699G Other specified fracture of unspecified ischium, subsequent encounter for fracture with delayed healing
  S32699K Other specified fracture of unspecified ischium, subsequent encounter for fracture with nonunion
  S32699S Other specified fracture of unspecified ischium, sequela
  S32810A Multiple fractures of pelvis with stable disruption of pelvic ring, initial encounter for closed fracture
  S32810B Multiple fractures of pelvis with stable disruption of pelvic ring, initial encounter for open fracture
  S32810D Multiple fractures of pelvis with stable disruption of pelvic ring, subsequent encounter for fracture with routine healing
  S32810G Multiple fractures of pelvis with stable disruption of pelvic ring, subsequent encounter for fracture with delayed healing
  S32810K Multiple fractures of pelvis with stable disruption of pelvic ring, subsequent encounter for fracture with nonunion
  S32810S Multiple fractures of pelvis with stable disruption of pelvic ring, sequela
  S32811A Multiple fractures of pelvis with unstable disruption of pelvic ring, initial encounter for closed fracture
  S32811B Multiple fractures of pelvis with unstable disruption of pelvic ring, initial encounter for open fracture
  S32811D Multiple fractures of pelvis with unstable disruption of pelvic ring, subsequent encounter for fracture with routine healing
  S32811G Multiple fractures of pelvis with unstable disruption of pelvic ring, subsequent encounter for fracture with delayed healing
  S32811K Multiple fractures of pelvis with unstable disruption of pelvic ring, subsequent encounter for fracture with nonunion
  S32811S Multiple fractures of pelvis with unstable disruption of pelvic ring, sequela
  S3282XA Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for closed fracture
  S3282XB Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for open fracture
  S3282XD Multiple fractures of pelvis without disruption of pelvic ring, subsequent encounter for fracture with routine healing
  S3282XG Multiple fractures of pelvis without disruption of pelvic ring, subsequent encounter for fracture with delayed healing
  S3282XK Multiple fractures of pelvis without disruption of pelvic ring, subsequent encounter for fracture with nonunion
  S3282XS Multiple fractures of pelvis without disruption of pelvic ring, sequela
  S3289XA Fracture of other parts of pelvis, initial encounter for closed fracture
  S3289XB Fracture of other parts of pelvis, initial encounter for open fracture
  S3289XD Fracture of other parts of pelvis, subsequent encounter for fracture with routine healing
  S3289XG Fracture of other parts of pelvis, subsequent encounter for fracture with delayed healing
  S3289XK Fracture of other parts of pelvis, subsequent encounter for fracture with nonunion
  S3289XS Fracture of other parts of pelvis, sequela
  S329XXA Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for closed fracture
  S329XXB Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for open fracture
  S329XXD Fracture of unspecified parts of lumbosacral spine and pelvis, subsequent encounter for fracture with routine healing
  S329XXG Fracture of unspecified parts of lumbosacral spine and pelvis, subsequent encounter for fracture with delayed healing
  S329XXK Fracture of unspecified parts of lumbosacral spine and pelvis, subsequent encounter for fracture with nonunion
  S329XXS Fracture of unspecified parts of lumbosacral spine and pelvis, sequela
  S330XXA Traumatic rupture of lumbar intervertebral disc, initial encounter
  S330XXS Traumatic rupture of lumbar intervertebral disc, sequela
  S33100A Subluxation of unspecified lumbar vertebra, initial encounter
  S33100S Subluxation of unspecified lumbar vertebra, sequela
  S33101A Dislocation of unspecified lumbar vertebra, initial encounter
  S33101S Dislocation of unspecified lumbar vertebra, sequela
  S33110A Subluxation of L1/L2 lumbar vertebra, initial encounter
  S33110S Subluxation of L1/L2 lumbar vertebra, sequela
  S33111A Dislocation of L1/L2 lumbar vertebra, initial encounter
  S33111S Dislocation of L1/L2 lumbar vertebra, sequela
  S33120A Subluxation of L2/L3 lumbar vertebra, initial encounter
  S33120S Subluxation of L2/L3 lumbar vertebra, sequela
  S33121A Dislocation of L2/L3 lumbar vertebra, initial encounter
  S33121S Dislocation of L2/L3 lumbar vertebra, sequela
  S33130A Subluxation of L3/L4 lumbar vertebra, initial encounter
  S33130S Subluxation of L3/L4 lumbar vertebra, sequela
  S33131A Dislocation of L3/L4 lumbar vertebra, initial encounter
  S33131S Dislocation of L3/L4 lumbar vertebra, sequela
  S33140A Subluxation of L4/L5 lumbar vertebra, initial encounter
  S33140S Subluxation of L4/L5 lumbar vertebra, sequela
  S33141A Dislocation of L4/L5 lumbar vertebra, initial encounter
  S33141S Dislocation of L4/L5 lumbar vertebra, sequela
  S332XXA Dislocation of sacroiliac and sacrococcygeal joint, initial encounter
  S332XXS Dislocation of sacroiliac and sacrococcygeal joint, sequela
