:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  O2200   Varicose veins of lower extremity in pregnancy, unspecified trimester
  O2201   Varicose veins of lower extremity in pregnancy, first trimester
  O2202   Varicose veins of lower extremity in pregnancy, second trimester
  O2203   Varicose veins of lower extremity in pregnancy, third trimester
  O2210   Genital varices in pregnancy, unspecified trimester
  O2211   Genital varices in pregnancy, first trimester
  O2212   Genital varices in pregnancy, second trimester
  O2213   Genital varices in pregnancy, third trimester
  O2220   Superficial thrombophlebitis in pregnancy, unspecified trimester
  O2221   Superficial thrombophlebitis in pregnancy, first trimester
  O2222   Superficial thrombophlebitis in pregnancy, second trimester
  O2223   Superficial thrombophlebitis in pregnancy, third trimester
  O2230   Deep phlebothrombosis in pregnancy, unspecified trimester
  O2231   Deep phlebothrombosis in pregnancy, first trimester
  O2232   Deep phlebothrombosis in pregnancy, second trimester
  O2233   Deep phlebothrombosis in pregnancy, third trimester
  O2240   Hemorrhoids in pregnancy, unspecified trimester
  O2241   Hemorrhoids in pregnancy, first trimester
  O2242   Hemorrhoids in pregnancy, second trimester
  O2243   Hemorrhoids in pregnancy, third trimester
  O2250   Cerebral venous thrombosis in pregnancy, unspecified trimester
  O2251   Cerebral venous thrombosis in pregnancy, first trimester
  O2252   Cerebral venous thrombosis in pregnancy, second trimester
  O2253   Cerebral venous thrombosis in pregnancy, third trimester
  O228X1  Other venous complications in pregnancy, first trimester
  O228X2  Other venous complications in pregnancy, second trimester
  O228X3  Other venous complications in pregnancy, third trimester
  O228X9  Other venous complications in pregnancy, unspecified trimester
  O2290   Venous complication in pregnancy, unspecified, unspecified trimester
  O2291   Venous complication in pregnancy, unspecified, first trimester
  O2292   Venous complication in pregnancy, unspecified, second trimester
  O2293   Venous complication in pregnancy, unspecified, third trimester
  O2300   Infections of kidney in pregnancy, unspecified trimester
  O2301   Infections of kidney in pregnancy, first trimester
  O2302   Infections of kidney in pregnancy, second trimester
  O2303   Infections of kidney in pregnancy, third trimester
  O2310   Infections of bladder in pregnancy, unspecified trimester
  O2311   Infections of bladder in pregnancy, first trimester
  O2312   Infections of bladder in pregnancy, second trimester
  O2313   Infections of bladder in pregnancy, third trimester
  O2320   Infections of urethra in pregnancy, unspecified trimester
  O2321   Infections of urethra in pregnancy, first trimester
  O2322   Infections of urethra in pregnancy, second trimester
  O2323   Infections of urethra in pregnancy, third trimester
  O2330   Infections of other parts of urinary tract in pregnancy, unspecified trimester
  O2331   Infections of other parts of urinary tract in pregnancy, first trimester
  O2332   Infections of other parts of urinary tract in pregnancy, second trimester
  O2333   Infections of other parts of urinary tract in pregnancy, third trimester
  O2340   Unspecified infection of urinary tract in pregnancy, unspecified trimester
  O2341   Unspecified infection of urinary tract in pregnancy, first trimester
  O2342   Unspecified infection of urinary tract in pregnancy, second trimester
  O2343   Unspecified infection of urinary tract in pregnancy, third trimester
  O23511  Infections of cervix in pregnancy, first trimester
  O23512  Infections of cervix in pregnancy, second trimester
  O23513  Infections of cervix in pregnancy, third trimester
  O23519  Infections of cervix in pregnancy, unspecified trimester
  O23521  Salpingo-oophoritis in pregnancy, first trimester
  O23522  Salpingo-oophoritis in pregnancy, second trimester
  O23523  Salpingo-oophoritis in pregnancy, third trimester
  O23529  Salpingo-oophoritis in pregnancy, unspecified trimester
  O23591  Infection of other part of genital tract in pregnancy, first trimester
  O23592  Infection of other part of genital tract in pregnancy, second trimester
  O23593  Infection of other part of genital tract in pregnancy, third trimester
  O23599  Infection of other part of genital tract in pregnancy, unspecified trimester
  O2390   Unspecified genitourinary tract infection in pregnancy, unspecified trimester
  O2391   Unspecified genitourinary tract infection in pregnancy, first trimester
  O2392   Unspecified genitourinary tract infection in pregnancy, second trimester
  O2393   Unspecified genitourinary tract infection in pregnancy, third trimester
  O24011  Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester
  O24012  Pre-existing type 1 diabetes mellitus, in pregnancy, second trimester
  O24013  Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester
  O24019  Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester
  O24111  Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester
  O24112  Pre-existing type 2 diabetes mellitus, in pregnancy, second trimester
  O24113  Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester
  O24119  Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester
  O24311  Unspecified pre-existing diabetes mellitus in pregnancy, first trimester
  O24312  Unspecified pre-existing diabetes mellitus in pregnancy, second trimester
  O24313  Unspecified pre-existing diabetes mellitus in pregnancy, third trimester
  O24319  Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester
  O24410  Gestational diabetes mellitus in pregnancy, diet controlled
  O24414  Gestational diabetes mellitus in pregnancy, insulin controlled
  O24415  Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs
  O24419  Gestational diabetes mellitus in pregnancy, unspecified control
  O24811  Other pre-existing diabetes mellitus in pregnancy, first trimester
  O24812  Other pre-existing diabetes mellitus in pregnancy, second trimester
  O24813  Other pre-existing diabetes mellitus in pregnancy, third trimester
  O24819  Other pre-existing diabetes mellitus in pregnancy, unspecified trimester
  O24911  Unspecified diabetes mellitus in pregnancy, first trimester
  O24912  Unspecified diabetes mellitus in pregnancy, second trimester
  O24913  Unspecified diabetes mellitus in pregnancy, third trimester
  O24919  Unspecified diabetes mellitus in pregnancy, unspecified trimester
  O2510   Malnutrition in pregnancy, unspecified trimester
  O2511   Malnutrition in pregnancy, first trimester
  O2512   Malnutrition in pregnancy, second trimester
  O2513   Malnutrition in pregnancy, third trimester
  O2600   Excessive weight gain in pregnancy, unspecified trimester
  O2601   Excessive weight gain in pregnancy, first trimester
  O2602   Excessive weight gain in pregnancy, second trimester
  O2603   Excessive weight gain in pregnancy, third trimester
  O2610   Low weight gain in pregnancy, unspecified trimester
  O2611   Low weight gain in pregnancy, first trimester
  O2612   Low weight gain in pregnancy, second trimester
  O2613   Low weight gain in pregnancy, third trimester
  O2620   Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester
  O2621   Pregnancy care for patient with recurrent pregnancy loss, first trimester
  O2622   Pregnancy care for patient with recurrent pregnancy loss, second trimester
  O2623   Pregnancy care for patient with recurrent pregnancy loss, third trimester
  O2630   Retained intrauterine contraceptive device in pregnancy, unspecified trimester
  O2631   Retained intrauterine contraceptive device in pregnancy, first trimester
  O2632   Retained intrauterine contraceptive device in pregnancy, second trimester
  O2633   Retained intrauterine contraceptive device in pregnancy, third trimester
  O2640   Herpes gestationis, unspecified trimester
  O2641   Herpes gestationis, first trimester
  O2642   Herpes gestationis, second trimester
  O2643   Herpes gestationis, third trimester
  O2650   Maternal hypotension syndrome, unspecified trimester
  O2651   Maternal hypotension syndrome, first trimester
  O2652   Maternal hypotension syndrome, second trimester
  O2653   Maternal hypotension syndrome, third trimester
  O26611  Liver and biliary tract disorders in pregnancy, first trimester
  O26612  Liver and biliary tract disorders in pregnancy, second trimester
  O26613  Liver and biliary tract disorders in pregnancy, third trimester
  O26619  Liver and biliary tract disorders in pregnancy, unspecified trimester
  O26641  Intrahepatic cholestasis of pregnancy, first trimester
  O26642  Intrahepatic cholestasis of pregnancy, second trimester
  O26643  Intrahepatic cholestasis of pregnancy, third trimester
  O26649  Intrahepatic cholestasis of pregnancy, unspecified trimester
  O26711  Subluxation of symphysis (pubis) in pregnancy, first trimester
  O26712  Subluxation of symphysis (pubis) in pregnancy, second trimester
  O26713  Subluxation of symphysis (pubis) in pregnancy, third trimester
  O26719  Subluxation of symphysis (pubis) in pregnancy, unspecified trimester
  O26811  Pregnancy related exhaustion and fatigue, first trimester
  O26812  Pregnancy related exhaustion and fatigue, second trimester
  O26813  Pregnancy related exhaustion and fatigue, third trimester
  O26819  Pregnancy related exhaustion and fatigue, unspecified trimester
  O26821  Pregnancy related peripheral neuritis, first trimester
  O26822  Pregnancy related peripheral neuritis, second trimester
  O26823  Pregnancy related peripheral neuritis, third trimester
  O26829  Pregnancy related peripheral neuritis, unspecified trimester
  O26831  Pregnancy related renal disease, first trimester
  O26832  Pregnancy related renal disease, second trimester
  O26833  Pregnancy related renal disease, third trimester
  O26839  Pregnancy related renal disease, unspecified trimester
  O26841  Uterine size-date discrepancy, first trimester
  O26842  Uterine size-date discrepancy, second trimester
  O26843  Uterine size-date discrepancy, third trimester
  O26849  Uterine size-date discrepancy, unspecified trimester
  O26851  Spotting complicating pregnancy, first trimester
  O26852  Spotting complicating pregnancy, second trimester
  O26853  Spotting complicating pregnancy, third trimester
  O26859  Spotting complicating pregnancy, unspecified trimester
  O2686   Pruritic urticarial papules and plaques of pregnancy (PUPPP)
  O26872  Cervical shortening, second trimester
  O26873  Cervical shortening, third trimester
  O26879  Cervical shortening, unspecified trimester
  O26891  Other specified pregnancy related conditions, first trimester
  O26892  Other specified pregnancy related conditions, second trimester
  O26893  Other specified pregnancy related conditions, third trimester
  O26899  Other specified pregnancy related conditions, unspecified trimester
  O2690   Pregnancy related conditions, unspecified, unspecified trimester
  O2691   Pregnancy related conditions, unspecified, first trimester
  O2692   Pregnancy related conditions, unspecified, second trimester
  O2693   Pregnancy related conditions, unspecified, third trimester
  O280    Abnormal hematological finding on antenatal screening of mother
  O281    Abnormal biochemical finding on antenatal screening of mother
  O282    Abnormal cytological finding on antenatal screening of mother
  O283    Abnormal ultrasonic finding on antenatal screening of mother
  O284    Abnormal radiological finding on antenatal screening of mother
  O285    Abnormal chromosomal and genetic finding on antenatal screening of mother
  O288    Other abnormal findings on antenatal screening of mother
  O289    Unspecified abnormal findings on antenatal screening of mother
  O29011  Aspiration pneumonitis due to anesthesia during pregnancy, first trimester
  O29012  Aspiration pneumonitis due to anesthesia during pregnancy, second trimester
  O29013  Aspiration pneumonitis due to anesthesia during pregnancy, third trimester
  O29019  Aspiration pneumonitis due to anesthesia during pregnancy, unspecified trimester
  O29021  Pressure collapse of lung due to anesthesia during pregnancy, first trimester
  O29022  Pressure collapse of lung due to anesthesia during pregnancy, second trimester
  O29023  Pressure collapse of lung due to anesthesia during pregnancy, third trimester
  O29029  Pressure collapse of lung due to anesthesia during pregnancy, unspecified trimester
  O29091  Other pulmonary complications of anesthesia during pregnancy, first trimester
  O29092  Other pulmonary complications of anesthesia during pregnancy, second trimester
